"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"6466592",1243,2396,15,1194.5,350.81,1151.15,1.3
"10409756",11,1090,6,1493.79,461.68,1435.68,1.31
"10069857",1244,1282,22,1438.52,347.83,1403.88,1.24
"5860385",1071,2215,6,985.82,290.72,947.7,1.32
"8266848",2213,652,23,891.36,284.35,855.92,1.31
"9544358",288,2452,20,2084.17,322.59,2061.86,1.15
"746248",385,82,4,1224.21,327.27,1190.29,1.25
"3988455",1158,503,7,790.42,246.49,750.66,1.39
"10437346",1308,98,0,2567.4,442.8,2529.18,1.19
"2789410",1429,1154,6,1404.5,478.15,1311.36,1.47
"5252304",2355,1829,20,2343.13,425.64,2306.08,1.19
"2952162",2616,167,16,886,271.33,846.48,1.35
"9816596",66,2394,9,886.13,178.81,869.1,1.22
"1444391",536,1747,18,1923.34,506.18,1863.88,1.28
"11138874",1080,2115,11,1812.35,481.89,1766.29,1.24
"9934717",1744,720,18,2621.77,639,2550.21,1.26
"7425283",812,82,22,1528.61,431.83,1477.35,1.29
"9948884",1504,403,22,1232.39,206.72,1220.23,1.14
"1440163",1282,1513,23,1608.46,489.18,1544.15,1.32
"366496",294,841,13,939.33,302.79,901.08,1.32
"2449789",1590,473,4,1170.78,600.5,1039.78,1.6
"10879652",1930,1743,4,2600.42,295.16,2584.61,1.12
"3177590",1185,2066,9,476.74,274.3,410.27,1.82
"386829",1309,1330,23,970.13,310.63,930.06,1.32
"207420",234,767,16,7159.75,1224.5,7055.6,1.19
"4152354",2407,232,5,1285.51,403.1,1229.79,1.34
"1724520",457,1047,5,627.25,277.52,578.45,1.47
"8949408",537,1446,1,925.49,268.55,893.06,1.29
"8473520",2216,2403,1,753,322.11,684.62,1.56
"11008673",91,1979,12,3724.14,318.14,3711.29,1.09
"3611521",2487,2348,16,1900.62,409.23,1857.23,1.24
"10305753",176,170,20,1010.92,145.55,1001.66,1.14
"1201445",830,1279,17,4281.07,1137.08,4121.89,1.33
"2642988",153,2505,4,1997.13,378.17,1966.02,1.19
"2521803",1648,21,15,1434.25,329.14,1398.21,1.25
"4135332",2368,2356,12,514.02,360.2,408.15,1.99
"4021810",79,210,12,1487.28,470.34,1423.36,1.34
"9681091",1079,1518,5,516.29,213.21,474.63,1.51
"10495332",2223,2673,20,2333.65,471.36,2295.12,1.19
"10709988",965,2463,17,1223.41,298.12,1188.15,1.27
"10403510",2505,2321,7,1817.04,506.11,1747.4,1.33
"2157772",1852,2249,21,1451.14,265.97,1427.62,1.2
"10426940",1245,886,13,1628.25,447.86,1574.77,1.29
"1365018",1612,2193,5,543.5,232.27,490.97,1.59
"8708765",184,2270,0,3605.5,231.22,3597.98,1.07
"5359578",2395,394,16,1368.07,510.61,1287.53,1.4
"9653897",1192,1185,23,1511.49,327.17,1482.4,1.21
"9420970",1911,1850,9,1808.92,302.63,1784.66,1.18
"5773156",958,65,5,410.5,286.73,347.75,1.7
"8631198",1720,1703,11,1390.58,345.32,1354.3,1.25
"10728162",815,2378,7,3339.07,889.2,3229.19,1.29
"9286961",380,1209,7,1421.1,387.75,1381.1,1.25
"9648039",550,1950,22,246.72,151.45,211.82,1.72
"5512756",1749,285,13,2706.69,837.81,2611.35,1.28
"10370254",595,1492,4,1427.39,284.17,1401.21,1.21
"4569548",2503,409,4,812.44,520.94,631.73,2.2
"10659669",1895,1721,20,1710.06,282.09,1689.99,1.16
"5859971",652,2022,14,3858.95,1274.56,3648.55,1.4
"2801702",2582,817,13,986.86,392.79,941.04,1.33
"1859369",2316,1246,11,766.98,277.04,727.87,1.36
"7110173",968,2231,5,1692.2,355.76,1656.38,1.23
"3755922",698,2582,5,2576.54,382.34,2548.85,1.16
"8482018",392,488,9,2590.14,606.32,2523.29,1.25
"8500986",264,767,9,2540.83,169.26,2535.44,1.07
"7878158",1457,1875,15,3359,723.79,3281.88,1.24
"639054",1103,1873,18,2210.28,616.88,2142.4,1.27
"9589283",1036,1653,11,1699.33,617.3,1577.21,1.49
"5799554",2348,99,18,621.86,297.61,564.27,1.53
"9832149",324,1455,3,2078.53,441.96,2035.82,1.22
"6138184",21,2348,16,3339.14,915.47,3210.53,1.33
"3312477",1755,817,14,111.95,90.23,98.22,1.53
"49634",455,2613,23,2015.77,622.33,1942.96,1.29
"5231153",812,1062,10,1289.94,281.03,1261.48,1.23
"5552430",1852,1650,19,2777.85,528.29,2732.3,1.2
"8484479",2453,1929,20,1799.11,234.28,1785.05,1.13
"5575746",809,2613,19,2361.85,550.25,2303.28,1.25
"1751765",886,269,21,1544.33,93.82,1541.59,1.06
"10514954",2245,1461,14,824.47,338.76,758.05,1.53
"6411716",1926,184,10,865.11,305.57,824.87,1.34
"10002751",2429,1296,9,4138.13,550.11,4103.19,1.14
"1255545",187,2515,22,635.73,182.81,610.4,1.33
"8047674",384,2288,0,1067.2,235.11,1045.75,1.21
"2752970",2249,2511,14,266.39,171.52,199.04,2.49
"4242630",2530,611,2,946.48,286.05,907.24,1.33
"8043504",2136,1764,22,925.33,358.61,874.58,1.37
"323800",181,605,21,1451.17,374.62,1407.26,1.28
"1191501",1877,1834,7,2705.17,864.07,2555.44,1.42
