"","sourceid","dstid","hod","mean_travel_time","standard_deviation_travel_time","geometric_mean_travel_time","geometric_standard_deviation_travel_time"
"5127262",1892,1570,21,1262.85,341.47,1224.35,1.27
"1638745",2345,605,7,1612,344.7,1579.47,1.22
"7033555",1913,2622,9,3792.5,691.84,3729.59,1.2
"376733",1920,2149,19,1004.25,260.51,974.84,1.27
"2131705",2628,545,18,1723.08,493.55,1663.48,1.29
"10775444",2708,443,13,1990.83,339.05,1961.01,1.19
"6709075",347,1829,13,899.85,317.44,857.27,1.34
"538824",2374,1578,0,886.75,427.21,833.21,1.36
"4295902",815,1321,19,3932,407.36,3910.89,1.11
"51857",1689,389,11,1883.12,376.1,1849.02,1.21
"5869458",1461,1921,12,2134.8,303.81,2116.14,1.14
"1795821",2345,1749,14,833.29,264.89,803.32,1.29
"1914707",1875,931,15,1049.18,364.14,996.98,1.36
"7445934",105,1833,12,1769.12,455.15,1714.77,1.28
"25984",2332,287,20,947.48,281.92,913.79,1.29
"9596809",609,2694,13,2547.27,713.47,2459.13,1.3
"7939864",597,103,14,2874.11,387.22,2848.59,1.14
"8769494",554,984,12,2391.95,507.23,2341.62,1.23
"10441642",395,1458,20,1170.98,335.23,1134.07,1.27
"1764280",629,2346,1,1100.53,271.43,1069.29,1.27
"607915",1271,1990,13,5463.9,1301.9,5332.37,1.24
"8252928",2488,132,14,898,399.76,815.05,1.55
"550171",1781,462,21,1550.61,390.87,1506.95,1.26
"1374242",1639,209,12,698.78,207.61,674.08,1.3
"6626167",2503,237,7,2978.5,304.77,2962.84,1.11
"8305250",940,47,19,1384.33,325.27,1346.88,1.26
"5617021",2313,234,16,1788.27,342.48,1758.76,1.2
"2603113",2169,1772,10,2990,434.54,2959.6,1.15
"1230733",2106,2113,18,1040.17,184.78,1024.57,1.19
"350120",2066,1180,13,650.16,201.19,626.91,1.29
"4067064",563,1928,17,767.52,300.53,714.65,1.45
"9115237",1938,551,0,590.12,276.64,536.92,1.52
"5002103",2631,232,18,1982,477.49,1930.1,1.25
"3300971",1617,1038,15,1538.19,287.53,1513.73,1.19
"10079053",554,886,14,4122.53,1513.53,3862.04,1.44
"2970748",1649,1648,14,194.52,127.17,157.25,2.12
"9434836",1258,643,14,572.66,248.73,544.95,1.33
"8552921",321,452,2,1472.89,309.36,1440.54,1.24
"6883200",123,1874,9,1058.81,362.65,1004.82,1.37
"1958394",1633,1044,2,1101.11,215.8,1083.74,1.19
"593093",598,1282,23,1886.11,764.33,1776.56,1.38
"1555757",1306,1303,6,511.09,173.97,488.56,1.33
"6948699",1106,86,6,1744.32,344.57,1713.18,1.21
"1278830",1699,2318,12,499.92,244.31,471.33,1.38
"8789973",954,605,12,2450.14,495.2,2403.96,1.21
"2356737",1089,1453,21,1779.56,886.6,1601.53,1.55
"1854167",1721,830,3,689.81,276.66,648.44,1.39
"8396238",1779,209,1,648.17,241.24,611.4,1.39
"5271709",1087,1512,8,1695.8,685.81,1556.29,1.53
"1436317",555,700,5,774.35,311.89,719.27,1.45
"3216980",1682,1210,7,2464.75,492.44,2418.11,1.21
"4182551",1592,2485,16,755.71,374.86,689.65,1.5
"7479088",2244,423,19,2771.5,273.31,2758.67,1.1
"6049937",1755,1536,14,2869.27,787.34,2773.01,1.29
"3348530",1686,1292,15,1257.99,362.79,1212.24,1.31
"8989837",1557,1360,16,1254,473.83,1186.53,1.37
"338099",1739,1339,8,3922.52,845.62,3838.59,1.23
"7351589",133,2153,7,1010.5,341.37,955.97,1.39
"8257485",1261,964,18,439.55,149.43,421.01,1.32
"8800873",1039,321,7,3528.47,1283.54,3333.47,1.39
"5743826",1649,2132,13,1755.68,353.56,1725.02,1.2
"9238048",1781,1873,10,3425.06,831.26,3353.33,1.21
"8422539",23,253,16,1327.83,260.68,1302.51,1.22
"8931571",103,391,20,1868.5,514.15,1809.18,1.28
"846174",685,1744,11,1087.38,274.42,1058.3,1.25
"6062852",2021,2272,21,618.9,520.99,339.08,4.01
"3652691",446,323,23,451.02,206.3,416.31,1.46
"907452",209,1121,10,2530.53,586.5,2469.21,1.24
"3508110",206,1701,16,909.43,238.11,881.83,1.28
"5464115",2307,567,13,2273.58,320.05,2250.81,1.15
"5221120",1183,2308,6,4023.27,1315.04,3820.84,1.38
"4082939",908,210,8,461.29,225.8,428.91,1.41
"9083246",1275,2223,13,2973.63,266.52,2963.05,1.09
"7850964",438,1305,10,1075.1,332.54,1026.97,1.35
"2273448",2355,2592,1,313.85,189.8,265.7,1.85
"3836834",2321,1282,12,928.57,216.71,904.56,1.26
"2859315",322,209,13,1547.65,595.72,1454.9,1.4
"2784465",2465,366,13,5399.64,1170.87,5284.11,1.23
"2500729",1729,1429,23,4178.5,329.4,4165.73,1.08
"487465",2344,1741,23,1546.41,460.1,1494.71,1.28
"9326313",2344,1211,10,3085.54,681.87,3023.05,1.21
"10041055",1723,1921,21,2164.5,301.61,2146.92,1.13
"3516187",1253,1251,5,706.46,255.88,661.02,1.45
"10300561",2521,206,9,3975.55,690.34,3918.33,1.18
"2953576",2460,2452,21,1935.64,387.79,1899.77,1.21
"2529794",1360,930,12,1402.58,180.91,1392.57,1.12
"8155784",422,466,8,1513.17,421.13,1454.25,1.33
"6052466",2451,1734,10,2567.88,571.21,2502.46,1.26
"1304207",194,303,17,3239.12,614.31,3178.77,1.22
"8637311",2155,1271,7,2302.79,557.32,2238.16,1.27
"9597594",286,369,9,1581.25,179.12,1571.86,1.11
"8673291",2355,1063,21,2099.14,444.97,2052.44,1.24
"97958",2123,306,15,4995.87,965.56,4911.29,1.2
"3225527",2601,2323,14,1009.75,208.59,989.65,1.22
"1313330",347,1746,21,1079.44,250.45,1055.12,1.23
